Player,Pos,HT,WT,Age,Teams,GP,YOS,Nationality,Title
Ralph Drollinger,C,2.1844,113.3980925,26,DAL,6,0,United States,NBA 1980-1981 Players Information
Terry Duerod,SG,1.8796,81.6466266,24,"BOS, DAL",50,1,United States,NBA 1980-1981 Players Information
"Mike Dunleavy, Sr.",G,1.905,81.6466266,26,HOU,74,4,United States,NBA 1980-1981 Players Information
T.R. Dunn,G,1.9304,87.08973504000001,26,DEN,82,3,United States,NBA 1980-1981 Players Information
John Duren,PG,1.905,88.45051215000001,22,UTA,40,0,United States,NBA 1980-1981 Players Information
James Edwards,C,2.1336,102.05828325,25,IND,81,3,United States,NBA 1980-1981 Players Information
Bob Elliott,FC,2.0574,102.05828325,25,NJN,73,3,United States,NBA 1980-1981 Players Information
Len Elmore,FC,2.0574,99.79032140000001,28,MIL,72,4,United States,NBA 1980-1981 Players Information
Alex English,SF,2.0065999999999997,86.1825503,27,DEN,81,4,United States,NBA 1980-1981 Players Information
Julius Erving,SF,1.9811999999999999,90.718474,31,PHI,82,8,United States,NBA 1980-1981 Players Information
Mike Evans,G,1.8541999999999998,77.1107029,25,MIL,70,2,United States,NBA 1980-1981 Players Information
Eric Fernsten,FC,2.0827999999999998,92.98643585,27,BOS,45,3,United States,NBA 1980-1981 Players Information
Chris Ford,SG,1.9558,86.1825503,32,BOS,82,8,United States,NBA 1980-1981 Players Information
Don Ford,F,2.0574,97.52235955,28,CLE,64,5,United States,NBA 1980-1981 Players Information
Phil Ford,G,1.8796,79.37866475,25,KCK,66,2,United States,NBA 1980-1981 Players Information
World B. Free,G,1.8796,83.91458845000001,27,GSW,65,5,United States,NBA 1980-1981 Players Information
Tony Fuller,SG,1.9304,81.6466266,22,DET,15,0,United States,NBA 1980-1981 Players Information
Mike Gale,G,1.9304,83.91458845000001,30,"POR, SAN",77,4,United States,NBA 1980-1981 Players Information
Calvin Garrett,PF,2.0065999999999997,86.1825503,24,HOU,70,0,United States,NBA 1980-1981 Players Information
Gus Gerard,GF,2.032,90.718474,27,"KCK, SAN",28,4,United States,NBA 1980-1981 Players Information
George Gervin,GF,2.0065999999999997,81.6466266,28,SAS,82,4,United States,NBA 1980-1981 Players Information
Artis Gilmore,C,2.1844,108.8621688,31,CHI,82,4,United States,NBA 1980-1981 Players Information
Mike Glenn,G,1.8796,79.37866475,25,NYK,82,3,United States,NBA 1980-1981 Players Information
Mike Gminski,C,2.1082,113.3980925,21,NJN,56,0,United States,NBA 1980-1981 Players Information
Glen Gondrezick,F,1.9811999999999999,98.88313666,25,DEN,73,3,United States,NBA 1980-1981 Players Information
Rickey Green,PG,1.8288,77.1107029,26,UTA,47,2,United States,NBA 1980-1981 Players Information
David Greenwood,F,2.0574,100.69750614,23,CHI,82,1,United States,NBA 1980-1981 Players Information
Kevin Grevey,GF,1.9558,95.2543977,27,WAS,75,5,United States,NBA 1980-1981 Players Information
Paul Griffin,FC,2.0574,92.98643585,27,SAS,82,4,United States,NBA 1980-1981 Players Information
Darrell Griffith,SG,1.9304,86.1825503,22,UTA,81,0,United States,NBA 1980-1981 Players Information
Bob Gross,SF,1.9811999999999999,90.718474,27,POR,82,5,United States,NBA 1980-1981 Players Information
